[252.9902, 304.57568;
 347.53082, 311.25107;
 335.1825, 310.82571;
 337.8063, 321.87976;
 349.98196, 328.97336;
 241.16029, 292.90109;
 356.37177, 314.84409;
 338.83878, 325.72861;
 368.36542, 333.9682;
 281.31396, 277.43604;
 333.80411, 318.17624;
 291.71384, 278.67648;
 344.82361, 327.34616;
 325.81699, 307.29828;
 225.728, 305.29779;
 368.87274, 317.11072;
 233.03639, 302.74951;
 328.59753, 292.23746;
 345.33713, 299.07544;
 210.08443, 296.41501;
 347.59784, 306.64905;
 353.07562, 308.44302;
 326.80338, 294.25891;
 279.38205, 272.90219;
 288.8367, 365.54688;
 250.61174, 333.32291;
 289.22253, 363.15167;
 280.51871, 269.01273;
 270.707, 272.00403;
 223.50392, 291.92307;
 214.23529, 292.71777;
 226.37901, 305.60123;
 293.80981, 357.78479;
 309.75635, 350.71078;
 272.00806, 367.30997;
 285.31238, 358.08545;
 225.66917, 291.94131;
 217.61726, 301.45169;
 287.04596, 361.19809;
 290.75677, 271.4451;
 319.08014, 285.16583;
 260.53934, 328.80887;
 284.28122, 274.59079;
 266.71442, 276.81265;
 367.59265, 328.88507;
 292.28455, 269.77136;
 357.25458, 322.19144;
 369.59171, 327.93478;
 263.21832, 284.74411;
 336.33762, 305.39584;
 342.52451, 306.76288;
 334.76688, 303.3739;
 276.81784, 279.97678;
 308.49857, 294.42484;
 270.69583, 279.38647;
 313.89584, 297.07941;
 324.21594, 299.06012;
 287.65045, 278.09979;
 306.78128, 284.53967;
 307.92236, 284.50439;
 319.08984, 304.36649;
 324.64911, 296.63309;
 297.66321, 280.08841;
 308.19794, 281.91437;
 246.09471, 288.57449;
 293.40048, 281.38922;
 315.53229, 290.67584;
 352.42682, 336.93951;
 347.95523, 325.45309;
 329.23587, 303.3782;
 321.48523, 297.1795;
 336.41846, 306.49435;
 321.58514, 302.78494;
 336.95749, 311.28345;
 316.47913, 308.81534;
 321.25562, 294.73322;
 364.561, 328.41547;
 351.75717, 330.0206;
 345.11917, 324.48163;
 354.57431, 330.90778;
 360.2117, 329.31458;
 343.42209, 322.5881;
 345.11237, 319.64108;
 328.64621, 297.1246;
 272.1297, 328.72693;
 363.44882, 311.72296;
 331.73767, 327.07111;
 265.09601, 277.28427;
 276.19821, 274.3161;
 269.6561, 283.14389;
 330.43347, 352.04694;
 355.11865, 315.354;
 300.47592, 282.8045;
 230.42955, 294.17279;
 293.03641, 276.25067;
